,Permno,Ticker,B/P,Mktcap,Ret
782,783,HUDI,0.19920318725099603,252.01,3.0945
783,784,HUGS,0.7352941176470588,349.92,0.008199999999999999
784,785,HUM,0.24390243902439027,60.73,0.0746
785,786,HUN,0.6802721088435374,6.21,0.1954
786,787,HURN,0.4273504273504274,1.37,0.44420000000000004
787,788,HUSA,0.22675736961451246,42.72,1.565
788,789,HWBK,0.7518796992481203,175.44,0.16690000000000002
789,790,HWC,0.8695652173913044,3.79,0.1346
790,791,HWKN,0.4115226337448559,728.14,0.1594
791,792,HWM,0.23529411764705882,14.29,0.1309
792,793,HXL,0.3115264797507788,4.7,0.061799999999999994
793,794,HZON,0.7575757575757576,651.71,0.0206
795,796,IBCP,0.8403361344537815,405.2,0.0152
796,797,IBN,0.3215434083601286,68.03,0.1416
797,798,IBOC,0.819672131147541,2.55,0.07730000000000001
798,799,IBTX,0.8547008547008548,2.86,0.0392
799,800,ICFI,0.46511627906976744,1.71,0.021099999999999997
800,801,ICL,0.42016806722689076,12.11,0.43450000000000005
801,802,IDA,0.5,5.36,0.030600000000000002
808,809,IFS,0.8333333333333334,2.77,0.0774
809,810,IGAC,0.7518796992481203,372.38,0.0195
812,813,IGT,0.33783783783783783,3.62,0.0058
815,816,III,0.28328611898017,337.11,0.2747
816,817,IIIN,0.42372881355932207,756.33,0.2849
817,818,IMAX,0.3278688524590164,1.01,0.08800000000000001
818,819,IMCR,0.09541984732824427,1.99,0.2766
819,820,IMGO,0.3436426116838488,565.3,0.0701
820,821,IMKTA,0.641025641025641,1.74,0.5548
822,823,IMO,0.7407407407407407,36.96,0.7142000000000001
823,824,IMPX,0.7142857142857143,496.52,0.0227
824,825,IMXI,0.17699115044247787,861.88,0.45130000000000003
825,826,INBK,0.970873786407767,368.98,0.3223
828,829,INCY,0.2145922746781116,17.93,0.049
829,830,INDB,0.7751937984496123,3.7,0.16940000000000002
830,831,INDO,0.15174506828528073,53.47,0.35729999999999995
832,833,INGR,0.5681818181818182,5.73,0.0092
833,834,INSP,0.040832993058391186,5.45,0.1365
834,835,INSW,1.0638297872340425,1.07,0.5092
836,837,INVA,0.37735849056603776,1.04,0.10679999999999999
837,838,IONS,0.12755102040816327,5.26,0.10460000000000001
838,839,IOSP,0.4444444444444444,2.36,0.1366
839,840,IPAR,0.24449877750611249,2.34,0.1109
840,841,IPI,1.2658227848101264,547.25,0.43810000000000004
841,842,IRDM,0.2331002331002331,4.95,0.0461
842,843,IRM,0.056211354693648116,13.45,0.0861
843,844,IRMD,0.13351134846461948,454.57,0.12279999999999999
844,845,IRT,0.7575757575757576,4.58,0.0998
845,846,IRTC,0.057803468208092484,4.06,1.7519
846,847,ISEE,0.23923444976076558,1.34,0.2278
847,848,ISIG,0.1996007984031936,16.21,0.1252
848,849,ISLE,0.78125,261.11,0.0173
849,850,ISTR,1.0,234.02,0.0022
850,851,ITCI,0.15313935681470137,5.34,0.5746
851,852,ITOS,0.6711409395973155,913.22,0.094
853,854,IVT,0.8620689655172414,1.8,0.6262
857,858,J,0.36496350364963503,16.37,0.0009
858,859,JAKK,0.38167938931297707,135.47,0.473
859,860,JBHT,0.17793594306049823,18.06,0.0926
860,861,JBL,0.3058103975535168,7.37,0.0246
861,862,JCIC,0.7692307692307692,424.4,0.0167
867,868,JKHY,0.09380863039399624,13.87,0.14150000000000001
868,869,JKS,0.7299270072992701,3.18,0.1514
870,871,JNJ,0.16556291390728478,445.32,0.0288
871,872,JNPR,0.45454545454545453,9.27,0.0966
873,874,JOB,1.5384615384615383,68.8,0.1104
874,875,JWSM,0.7633587786259541,1.28,0.008199999999999999
875,876,K,0.15503875968992248,24.45,0.11019999999999999
876,877,KAHC,0.7633587786259541,1.69,0.009300000000000001
877,878,KAI,0.267379679144385,2.18,0.1425
878,879,KAIR,0.7692307692307692,341.21,0.0222
879,880,KAR,0.7633587786259541,1.91,0.0381
880,881,KBR,0.2237136465324385,6.91,0.30870000000000003
883,884,KDNY,0.3968253968253968,1.15,0.3134
884,885,KDP,0.4926108374384237,51.41,0.0253
885,886,KE,0.9009009009009008,480.4,0.0278
886,887,KELYA,1.5625,787.52,0.0183
887,888,KEN,1.0638297872340425,2.29,0.7154
888,889,KEQU,0.6756756756756757,51.19,0.6136
889,890,KEX,0.7874015748031495,3.6,0.0973
890,891,KFFB,0.8130081300813008,65.02,0.1047
891,892,KFRC,0.1564945226917058,1.34,0.059500000000000004
894,895,KIM,0.7633587786259541,12.57,0.0736
895,896,KINZ,0.7692307692307692,346.09,0.014199999999999999
896,897,KLAC,0.07867820613690008,50.44,0.1741
898,899,KMI,0.78125,38.83,0.0076
899,900,KNSL,0.1288659793814433,5.08,0.3638
901,902,KNX,0.7874015748031495,8.2,0.06849999999999999
902,903,KO,0.09182736455463728,269.68,0.122
903,904,KOF,0.47619047619047616,11.29,0.06269999999999999
904,905,KOS,0.20161290322580647,2.59,1.5885
905,906,KR,0.27548209366391185,33.67,0.1517
908,909,KRNL,0.7633587786259541,374.52,0.0092
909,910,KRO,0.45454545454545453,2.01,0.2978
910,911,KRP,0.6134969325153374,1.06,0.3985
911,912,KRTX,0.11428571428571428,3.88,0.17010000000000003
912,913,KRUS,0.11918951132300357,757.38,0.5526
913,914,KRYS,0.3003003003003003,1.85,0.1918
915,916,KW,0.5434782608695652,2.61,0.0258
916,917,KWAC,0.7462686567164178,148.22,0.0302
917,918,KYN,1.0416666666666667,1.08,0.1291
918,919,KZR,0.3731343283582089,609.03,0.9469
919,920,L,1.1627906976744187,14.0,0.1153
921,922,LAC,0.37735849056603776,3.97,0.731
922,923,LADR,1.0869565217391304,1.39,0.0381
923,924,LAND,0.7518796992481203,809.61,0.0365
925,926,LAUR,0.49751243781094534,1.97,0.4484
927,928,LBC,1.0204081632653061,645.14,0.0562
928,929,LBRT,0.5376344086021505,2.28,0.0904
929,930,LEGN,0.05473453749315818,8.03,0.1826
931,932,LFTR,0.7575757575757576,256.57,0.0175
932,933,LFUS,0.32573289902280134,5.96,0.0443
933,934,LGAC,0.7633587786259541,705.11,0.0060999999999999995
934,935,LGL,0.7575757575757576,73.33,0.3337
935,936,LGVN,0.25510204081632654,131.04,0.0438
936,937,LHC,0.7751937984496123,461.67,0.0134
937,938,LHX,0.4424778761061947,43.14,0.034
938,939,LI,0.17035775127768313,38.52,0.2217
939,940,LIN,0.29673590504451036,139.52,0.0038
940,941,LITE,0.3225806451612903,5.57,0.0366
941,942,LJAQ,0.7751937984496123,173.57,0.0277
943,944,LKFN,0.3472222222222222,1.71,0.20440000000000003
944,945,LKQ,0.3831417624521073,14.86,0.0863
945,946,LLY,0.031665611146295125,305.54,0.3932
946,947,LMAO,0.7407407407407407,132.91,0.029300000000000003
947,948,LMT,0.09551098376313276,104.39,0.049400000000000006
948,949,LNFA,0.7092198581560284,78.59,0.016
950,951,LNTH,0.10615711252653928,4.72,1.8041999999999998
951,952,LOPE,0.2222222222222222,2.88,0.0128
952,953,LPG,1.4285714285714286,632.19,0.8663
953,954,LPI,0.33003300330033003,1.28,0.3868
954,955,LPLA,0.1160092807424594,14.43,0.4658
955,956,LPX,0.31347962382445144,4.84,0.1664
956,957,LQDA,0.19569471624266144,338.86,1.1943000000000001
957,958,LRN,0.4329004329004329,1.78,0.2864
958,959,LSAK,0.8264462809917356,314.14,0.3795
959,960,LSCC,0.05470459518599562,7.44,0.1128
960,961,LSI,0.3597122302158274,9.6,0.030600000000000002
961,962,LSTR,0.1485884101040119,5.66,0.024900000000000002
962,963,LTC,0.4716981132075471,1.56,0.0274
963,964,LTHM,0.23980815347721823,3.9,0.2725
964,965,LTRX,0.4166666666666667,181.34,0.0812
967,968,LW,0.036153289949385395,10.84,0.0077
968,969,LWLG,0.022878059940517045,1.14,0.0294
969,970,LXU,0.46511627906976744,1.06,2.3843
970,971,LYB,0.4329004329004329,28.88,0.0139
972,973,M,0.6369426751592356,4.8,0.1273
974,975,MAIN,0.6172839506172839,3.05,0.0616
975,976,MANT,0.4329004329004329,3.93,0.12560000000000002
976,977,MAR,0.03577817531305903,48.51,0.1534
977,978,MARPS,0.07272727272727272,15.55,0.6776000000000001
978,979,MAT,0.2032520325203252,7.98,0.20170000000000002
979,980,MATX,0.5714285714285714,3.22,0.2762
980,981,MAYS,0.6172839506172839,86.86,1.175
983,984,MBWM,0.819672131147541,514.07,0.1489
984,985,MCB,0.7692307692307692,688.6,0.1736
985,986,MCBC,0.7874015748031495,305.06,0.11630000000000001
986,987,MCBS,0.5681818181818182,530.71,0.2214
989,990,MCRI,0.3968253968253968,1.13,0.0533
990,991,MEOH,0.6944444444444444,2.67,0.261
991,992,MERC,0.8,950.4,0.29969999999999997
992,993,MET,1.075268817204301,48.51,0.08839999999999999
