No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
228,BTU,3.07B,10.36,3.45,-,0.91,1.59,3.73,-,115.80%,-24.85%,15.80%,-,-6.80%,21.81,0.67%,"2,052,848"
229,BTWN,738.59M,13.22,-,-,-,1.32,1477.19,-,198.50%,-,-,-,-,9.94,0.05%,"191,903"
230,BUR,-,-,-,-,-,-,-,-,-,-,-,-,-,10.92,3.21%,"116,462"
231,BUSE,1.29B,11.95,9.91,1.99,4.26,1.10,2.69,12.39,20.40%,7.67%,9.50%,6.00%,12.60%,24.24,0.08%,"26,603"
232,BVH,524.95M,7.96,6.33,0.80,0.73,2.16,2.93,6.55,198.80%,11.55%,11.40%,10.00%,0.00%,26.31,-1.02%,"10,701"
233,BW,611.00M,24.73,12.48,3.54,0.80,32.86,5.65,-,204.70%,130.42%,15.00%,6.99%,-12.60%,7.00,1.45%,"76,163"
234,BWAC,108.77M,57.07,-,-,-,1.32,1087.75,-,147.70%,-,-,-,-,10.33,0.00%,0
235,BWB,452.52M,10.78,9.83,0.72,3.40,1.51,5.66,7.07,64.80%,1.91%,27.60%,15.00%,20.50%,16.66,-0.60%,"11,169"
236,BWFG,244.45M,8.69,8.82,-,2.88,1.17,0.80,-,348.00%,-9.34%,15.80%,-,5.90%,31.76,-1.00%,"6,649"
237,BXC,718.58M,2.07,3.52,0.08,0.16,1.50,9.66,4.60,250.80%,-29.99%,76.00%,25.00%,17.90%,76.84,1.16%,"39,964"
238,BY,880.27M,9.98,10.37,1.00,3.51,1.14,4.94,6.42,150.40%,3.37%,0.40%,10.00%,20.40%,23.97,-0.83%,"38,231"
239,BYD,5.69B,11.80,9.65,1.44,1.64,3.94,14.12,6.97,442.60%,4.61%,17.70%,8.19%,8.90%,55.30,1.47%,"214,403"
240,BZQ,-,-,-,-,-,-,-,-,-,-,-,-,-,32.60,0.93%,"83,886"
241,CAAP,856.98M,-,6.20,-,1.04,1.73,1.33,-,61.30%,47.58%,-33.40%,28.30%,-12.30%,5.29,0.00%,"58,994"
242,CAC,636.14M,10.11,10.22,-,4.19,1.36,4.25,6.40,16.40%,0.41%,12.30%,-,2.80%,44.52,-0.20%,"3,146"
243,CACC,6.96B,8.64,11.01,0.39,3.74,4.75,395.51,6.26,153.60%,-6.36%,29.60%,22.08%,13.90%,545.16,0.64%,"25,796"
244,CACI,6.59B,16.50,14.58,6.87,1.08,2.25,52.66,10.56,45.10%,9.54%,26.00%,2.40%,10.10%,283.94,-0.27%,"36,204"
245,CAL,999.72M,5.88,5.90,0.39,0.35,2.84,29.67,-,129.60%,7.94%,18.60%,15.00%,1.50%,27.88,0.74%,"142,346"
246,CALM,2.57B,140.29,15.59,-,1.66,2.48,26.55,-,-88.80%,45.77%,-63.50%,-,-6.70%,52.58,0.48%,"553,871"
247,CALX,2.67B,12.76,38.29,0.64,3.80,4.62,12.53,62.28,550.50%,35.33%,52.50%,20.00%,8.20%,44.27,4.44%,"255,067"
248,CANE,-,-,-,-,-,-,-,-,-,-,-,-,-,9.26,-0.96%,"14,702"
249,CAPL,761.02M,25.25,21.73,12.63,0.19,15.36,68.56,11.53,-80.10%,0.00%,21.10%,2.00%,13.90%,20.54,0.54%,"10,381"
250,CAPR,107.27M,-,-,-,536.37,4.56,1.84,11.41,1.10%,-,38.80%,-,-42.80%,4.81,4.34%,"96,537"
251,CAR,7.70B,4.96,7.90,0.26,0.74,-,14.01,1.85,300.40%,-45.04%,61.90%,19.40%,1.50%,159.24,-0.68%,"242,587"
252,CARE,377.60M,13.09,8.35,-,2.79,0.93,-,-,29.20%,10.30%,-,-,-,14.26,-0.07%,"6,754"
253,CASY,7.28B,21.87,20.14,2.65,0.56,3.30,45.84,17.72,8.60%,12.42%,15.20%,8.24%,11.50%,199.06,0.08%,"90,630"
254,CATC,560.25M,10.84,9.40,-,4.16,1.32,6.48,15.06,52.90%,15.71%,13.10%,-,18.50%,83.00,0.00%,"2,021"
255,CATY,2.98B,10.54,7.88,1.32,4.42,1.27,2.34,13.27,32.30%,11.64%,11.60%,8.00%,6.00%,40.88,0.25%,"56,114"
256,CB,78.32B,9.89,10.86,0.72,1.93,1.39,45.17,7.76,147.30%,12.67%,16.80%,13.75%,5.30%,185.60,-0.06%,"667,878"
257,CBFV,118.94M,10.41,8.65,1.04,2.75,0.98,0.96,27.66,209.00%,21.59%,3.00%,10.00%,6.30%,23.16,0.09%,766
258,CBNK,296.49M,7.44,7.64,-,2.26,1.50,0.94,-,51.70%,14.31%,31.70%,-,20.10%,21.89,1.27%,"4,054"
259,CBOE,12.83B,26.09,18.53,5.33,3.71,3.64,18.11,12.75,15.10%,3.49%,16.70%,4.90%,39.70%,121.65,-0.17%,"171,598"
260,CBT,3.74B,30.11,9.28,2.05,0.96,4.16,17.40,-,199.60%,18.30%,13.30%,14.68%,7.20%,67.73,0.47%,"124,931"
261,CBTX,688.09M,19.67,10.89,-,5.26,1.31,0.87,57.82,36.30%,40.96%,3.40%,-,3.60%,29.07,0.38%,"20,421"
262,CBZ,2.15B,28.04,17.97,1.87,1.80,2.85,3582.14,24.88,-6.70%,20.00%,11.70%,15.00%,6.70%,41.47,-0.07%,"29,288"
263,CC,5.18B,7.56,5.68,0.56,0.78,4.65,4.53,17.45,173.80%,12.71%,148.30%,13.50%,3.30%,33.55,-0.94%,"507,088"
264,CCB,490.38M,18.46,10.83,-,5.17,2.45,0.71,18.86,73.90%,54.79%,37.50%,-,23.90%,39.63,0.53%,"5,739"
265,CCBG,516.39M,16.58,11.54,2.76,4.86,1.40,0.59,7.62,5.30%,18.24%,23.50%,6.00%,5.60%,31.80,0.32%,"10,161"
266,CCJ,9.42B,-,21.57,-,7.81,2.53,8.35,26.57,-92.10%,290.75%,-10.60%,-,-9.50%,23.88,0.84%,"2,486,846"
267,CCNE,404.25M,7.67,6.55,-,2.23,1.13,0.92,12.25,60.70%,9.77%,17.40%,-,13.70%,24.63,-0.44%,"13,819"
268,CCOR,-,-,-,-,-,-,-,-,-,-,-,-,-,30.74,0.32%,"23,852"
269,CCRN,1.05B,6.23,9.94,0.15,0.49,2.99,876.90,-,53.60%,-38.61%,74.20%,41.09%,15.00%,29.12,1.16%,"284,077"
270,CCXI,1.66B,-,-,-,60.70,6.45,4.86,-,-123.80%,60.00%,-17.00%,-,22.00%,24.33,3.36%,"445,385"
271,CDC,-,-,-,-,-,-,-,-,-,-,-,-,-,66.74,-0.01%,"75,956"
272,CDEV,1.72B,13.05,2.55,2.18,1.45,0.64,33.94,2.81,118.10%,37.77%,18.40%,6.00%,59.80%,6.45,3.37%,"3,809,051"
273,CDL,-,-,-,-,-,-,-,-,-,-,-,-,-,58.46,0.17%,"4,753"
274,CDNS,43.71B,60.34,36.64,3.53,13.86,15.95,38.52,37.60,18.20%,12.30%,29.10%,17.10%,10.50%,165.73,2.57%,"413,477"
275,CDR,393.58M,-,-,-,3.16,1.37,187.42,-,-360.20%,-71.40%,-53.40%,11.00%,-3.30%,28.98,0.14%,"54,480"
276,CEIX,1.92B,-,2.89,-,1.28,2.93,8.63,8.74,357.60%,154.74%,-8.20%,-,1.10%,56.55,0.25%,"251,590"
277,CELH,5.26B,598.25,76.37,10.08,13.22,24.80,206.19,-,-55.70%,120.31%,20.80%,59.36%,69.10%,80.18,6.36%,"615,226"
278,CEM,428.97M,-,-,-,-,-,-,-,-,-,-,-,-,30.85,1.28%,"28,596"
279,CEN,80.95M,-,-,-,-,-,-,-,-,-,-,-,-,16.48,0.39%,"6,715"
280,CEPU,468.78M,-,2.36,-,0.01,0.00,-,-,6.20%,91.30%,-,29.60%,-,3.06,-1.92%,"32,183"
281,CEQP,2.48B,-,11.90,-,0.48,1.66,208.43,22.22,-33.10%,61.04%,9.90%,5.00%,12.60%,26.28,0.57%,"101,085"
282,CERE,4.08B,-,-,-,-,7.83,7.51,-,18.10%,-11.70%,-,-,-,29.31,6.33%,"232,243"
283,CERS,959.25M,-,-,-,5.54,12.20,8.83,-,13.00%,14.30%,12.50%,-,32.40%,5.77,2.85%,"949,421"
284,CF,17.29B,11.21,6.85,2.98,2.07,4.53,6.61,5.92,187.90%,-30.45%,41.00%,3.77%,12.20%,85.17,-2.01%,"879,875"
285,CFB,632.12M,9.14,8.48,-,3.28,1.06,2.28,5.72,456.30%,15.18%,-,-,-,12.89,-1.73%,"27,251"
286,CFBK,107.81M,8.22,6.93,-,2.05,1.04,0.61,0.25,-38.00%,8.00%,60.10%,-,29.40%,20.52,-0.27%,95
287,CFIV,626.45M,97.72,-,-,-,1.28,-,-,240.80%,-,-,-,-,9.87,0.00%,0
288,CFR,7.64B,19.00,13.10,1.90,7.51,2.17,0.53,-,32.50%,20.23%,7.50%,10.02%,5.10%,123.20,0.26%,"52,499"
289,CFVI,387.37M,-,-,-,-,1.46,-,-,-,-,-,-,-,10.05,-0.28%,"302,474"
290,CFVIU,-,-,-,-,-,-,-,-,-,-,-,-,-,10.42,0.39%,241
291,CGBD,682.38M,5.08,8.13,2.54,3.84,0.77,9.82,71.83,30.10%,-0.12%,6.40%,2.00%,9.10%,13.17,1.00%,"92,623"
292,CHAD,-,-,-,-,-,-,-,-,-,-,-,-,-,18.74,0.65%,"1,328"
293,CHCO,1.21B,14.02,13.79,1.75,7.34,1.95,1.93,-,2.10%,5.63%,10.40%,8.00%,4.60%,81.79,-0.52%,"16,383"
294,CHD,22.90B,28.86,27.61,3.99,4.36,6.71,131.32,33.24,6.40%,8.22%,13.60%,7.24%,8.20%,93.42,-0.71%,"348,382"
295,CHDN,7.80B,32.44,16.24,-,4.77,25.33,26.49,18.57,31.50%,64.57%,26.90%,-,14.20%,214.11,1.82%,"48,101"
296,CHE,7.39B,29.25,23.62,4.18,3.45,11.24,405.99,32.48,-13.50%,8.68%,21.10%,7.00%,6.30%,501.51,0.32%,"5,721"
297,CHEF,1.40B,99.51,27.22,4.69,0.71,4.03,17.68,-,94.60%,28.92%,-25.80%,21.20%,7.90%,39.42,1.82%,"131,593"
298,CHH,6.47B,19.72,20.96,2.09,5.66,20.64,12.28,-,281.50%,10.64%,22.20%,9.45%,5.80%,118.33,0.96%,"54,712"
299,CHK,10.71B,-,5.76,-,2.01,1.99,563.83,10.48,105.40%,13.71%,-,9.25%,-6.00%,89.88,1.41%,"630,230"
300,CHKP,15.82B,20.50,15.61,3.06,7.19,5.05,9.09,13.69,2.00%,10.07%,7.80%,6.71%,4.50%,127.12,2.72%,"359,284"
301,CHMG,212.18M,7.91,8.37,-,3.04,1.14,3.07,7.77,40.70%,3.94%,21.80%,-,4.20%,45.80,1.23%,917
302,CHNG,7.45B,-,13.85,-,2.14,2.36,29.51,17.70,49.40%,8.88%,9.00%,13.00%,62.20%,23.57,-0.80%,"755,638"
303,CHRD,4.81B,9.27,3.12,3.09,2.52,1.52,11.72,-,105.00%,3.31%,54.90%,3.00%,17.50%,114.34,0.43%,"113,265"
304,CHRW,12.47B,14.24,16.37,2.60,0.50,6.28,51.34,-,69.60%,-17.53%,11.90%,5.48%,11.90%,101.19,0.26%,"340,813"
305,CHT,31.65B,24.73,-,-,0.15,0.09,-,-,-,-,-,-,-,40.23,-1.40%,"85,098"
306,CI,84.20B,17.03,10.89,1.49,0.48,1.90,19.03,15.10,-31.50%,10.98%,17.00%,11.45%,34.40%,267.64,-2.53%,"697,310"
307,CIG,5.04B,4.28,-,-,0.79,1.14,11.45,11.81,0.80%,-,50.40%,0.00%,12.40%,1.98,0.25%,"1,665,301"
308,CIGI,5.15B,-,14.38,-,1.19,10.02,22.36,-,-844.60%,11.25%,-48.40%,20.00%,16.60%,120.22,0.56%,"14,597"
309,CIO,562.67M,1.31,70.53,0.15,3.32,0.75,21.07,30.25,-96.40%,-62.00%,143.90%,9.00%,17.80%,13.41,0.07%,"117,973"
310,CIVI,4.35B,13.23,3.83,0.88,2.60,0.96,28.21,7.14,-4.30%,1.83%,15.00%,15.00%,36.70%,53.91,2.35%,"235,178"
311,CIX,5.48B,17.76,6.19,2.07,38.94,2.72,24.77,11.48,-,7.62%,-11.10%,8.60%,-,22.86,2.56%,"3,753"
312,CKX,21.53M,54.15,-,-,26.92,1.30,2.73,-,141.40%,-,36.90%,-,-2.90%,11.04,-0.54%,813
313,CLAS,318.65M,40.04,-,-,-,1.29,3186.48,-,-,-,-,-,-,9.85,0.00%,0
314,CLBK,2.40B,24.88,24.93,-,8.85,2.19,19.74,-,68.40%,4.76%,25.50%,-,9.80%,21.76,-0.82%,"19,596"
315,CLDS,-,-,-,-,-,-,-,-,-,-,-,-,-,31.30,-8.52%,"6,884"
316,CLDT,565.00M,-,35.31,-,2.49,0.74,31.22,22.33,71.40%,335.70%,-20.80%,12.00%,-7.20%,11.91,0.68%,"66,702"
317,CLFD,1.06B,32.79,25.46,-,5.61,8.74,72.53,-,175.90%,12.25%,20.30%,-,13.30%,78.36,-0.03%,"73,696"
318,CLH,4.83B,21.71,18.01,0.72,1.16,3.08,11.65,36.04,53.30%,8.89%,49.00%,30.00%,6.70%,90.72,0.72%,"40,481"
319,CLMT,783.75M,-,8.87,-,0.21,-,73.25,-,-73.20%,208.50%,3.00%,10.00%,-2.00%,11.10,4.40%,"32,032"
320,CLPR,135.29M,-,-,-,1.09,6.46,5.35,-,-68.00%,25.00%,-8.60%,-,5.70%,8.61,-0.42%,"14,256"
321,CLR,24.03B,12.05,6.26,1.05,3.80,3.01,5721.87,5.83,376.10%,-13.44%,44.10%,11.43%,23.60%,66.26,0.03%,"308,230"
322,CLS,1.24B,11.00,7.21,0.46,0.21,0.83,3.59,7.91,74.70%,21.70%,-2.80%,24.05%,-1.30%,10.22,1.29%,"113,722"
323,CLW,594.28M,-,12.97,-,0.32,1.13,16.33,8.68,-140.00%,-20.17%,-20.90%,5.00%,0.40%,35.97,0.11%,"18,427"
324,CMA,9.75B,10.75,7.91,-,5.10,1.54,0.71,-,141.70%,25.16%,25.50%,-10.70%,-0.10%,78.88,1.23%,"1,313,086"
325,CMC,4.20B,4.06,5.88,-,0.49,1.38,10.24,-,46.30%,-26.92%,44.80%,-9.59%,13.40%,35.63,-0.31%,"251,387"
326,CMDY,-,-,-,-,-,-,-,-,-,-,-,-,-,57.03,0.19%,"10,457"
327,CME,72.38B,26.66,24.22,3.31,15.13,2.64,33.58,-,24.20%,6.63%,10.00%,8.05%,5.50%,204.98,0.57%,"493,069"
328,CMRE,1.40B,3.16,2.99,-,1.50,0.79,3.27,-,64.40%,4.99%,33.10%,-,11.10%,11.44,-2.60%,"471,431"
329,CMS,18.73B,25.85,20.82,3.05,2.44,2.83,42.00,-,4.00%,8.33%,4.00%,8.48%,2.80%,64.62,-0.52%,"538,656"
330,CNA,11.54B,9.72,9.17,1.94,0.97,1.08,31.96,7.41,73.90%,10.97%,6.80%,5.00%,4.70%,42.72,-0.35%,"20,749"
331,CNC,51.11B,36.24,14.51,3.12,0.38,1.96,4.55,11.75,-26.90%,12.65%,6.00%,11.63%,25.40%,89.80,-1.70%,"1,402,710"
332,CNCE,230.91M,-,-,-,7.08,2.32,2.10,-,2.90%,35.80%,-0.40%,-,184.80%,5.03,3.81%,"180,261"
333,CNI,79.99B,22.16,14.89,1.63,7.16,4.84,214.10,54.70,43.50%,12.42%,8.10%,13.58%,3.80%,115.33,-0.09%,"271,161"
334,CNK,2.21B,-,15.56,-,1.19,7.75,3.89,-,24.90%,5950.00%,-34.20%,10.00%,-12.30%,19.08,1.33%,"2,144,191"
335,CNOB,953.81M,7.86,7.65,0.79,3.10,0.95,2.83,6.56,79.80%,5.11%,26.10%,10.00%,13.40%,24.52,-0.77%,"20,129"
336,CNP,18.42B,20.66,20.02,-,2.15,2.04,21.79,-,62.50%,8.31%,-1.20%,-0.79%,2.10%,29.55,-0.67%,"934,316"
337,CNQ,58.15B,8.28,5.05,1.03,2.24,1.99,147.56,6.14,68.90%,-14.40%,105.70%,8.00%,21.30%,50.75,1.44%,"1,238,225"
338,CNR,3.13B,4.11,10.70,0.12,0.53,2.30,5.75,-,235.00%,13.33%,46.50%,34.70%,25.80%,24.64,0.31%,"2,428,460"
339,CNVY,766.30M,-,31.86,-,2.18,1.42,36.66,-,-65.60%,206.54%,-,-,-,10.42,-0.29%,"79,230"
340,CNX,3.38B,-,5.49,-,1.27,1.40,392.48,5.84,4.90%,3.71%,0.80%,41.60%,22.20%,18.02,0.42%,"1,054,651"
341,CNXN,1.18B,14.81,13.07,1.85,0.39,1.70,17.50,-,25.20%,5.58%,8.00%,8.00%,1.40%,46.03,0.61%,"12,637"
342,COGT,1.05B,-,-,-,-,4.65,5.48,-,88.50%,-8.30%,5.40%,-,-,11.56,2.21%,"317,350"
343,COKE,4.87B,21.60,13.00,-,0.85,4.63,38.30,14.38,10.40%,6.20%,24.80%,-,12.20%,492.99,-2.58%,"43,626"
344,COLI,423.20M,30.37,-,-,-,1.29,2116.02,-,-,-,-,-,-,9.83,0.20%,"2,983"
345,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,30.48,-0.03%,"12,622"
346,COMB,-,-,-,-,-,-,-,-,-,-,-,-,-,30.06,0.20%,"16,735"
347,COMT,-,-,-,-,-,-,-,-,-,-,-,-,-,39.68,-0.03%,"204,554"
348,CONX,928.94M,39.66,-,-,-,1.31,1857.87,-,813.80%,-,-,-,-,9.92,0.05%,"4,200"
349,COOL,493.71M,37.85,-,2.52,-,1.30,1645.70,-,591.30%,56.80%,66.95%,15.00%,-,9.89,0.10%,"1,120"
350,COOP,2.90B,2.11,6.19,-,0.93,0.74,5.02,0.81,418.00%,135.15%,35.50%,-8.54%,261.20%,40.23,0.70%,"140,812"
351,COP,112.68B,9.10,7.03,0.55,2.10,2.34,15.77,12.69,342.80%,-15.04%,32.60%,16.58%,13.70%,90.00,1.72%,"2,850,115"
352,CORN,-,-,-,-,-,-,-,-,-,-,-,-,-,23.96,-0.50%,"56,944"
353,CORT,2.97B,30.48,23.71,-,7.81,7.23,8.60,16.76,4.60%,21.53%,66.40%,-,35.10%,27.86,0.11%,"194,429"
354,COST,225.59B,40.97,35.88,2.99,1.04,11.56,19.07,83.52,25.00%,10.98%,16.20%,13.69%,10.50%,525.60,1.03%,"818,134"
355,COW,-,-,-,-,-,-,-,-,-,-,-,-,-,38.61,0.98%,"1,408"
356,COWZ,-,-,-,-,-,-,-,-,-,-,-,-,-,44.81,0.28%,"450,259"
357,CP,89.75B,18.78,16.66,1.85,11.40,2.02,1055.88,51.97,16.30%,20.43%,14.50%,10.14%,5.10%,73.48,-0.64%,"1,062,569"
358,CPB,14.65B,15.48,16.67,11.39,1.73,4.30,74.74,27.18,69.70%,2.18%,12.80%,1.36%,1.30%,48.03,-0.80%,"431,932"
359,CPE,2.53B,5.02,2.28,0.20,1.03,1.36,601.24,5.75,111.40%,8.30%,23.90%,25.00%,59.10%,42.92,1.54%,"517,716"
360,CPG,5.40B,1.22,3.02,-,1.66,0.65,947.74,5.25,186.40%,-35.30%,33.70%,-,5.30%,7.40,0.67%,"5,761,053"
361,CPHC,112.66M,8.86,-,-,1.74,1.73,8.53,11.86,981.00%,-,20.20%,-,2.70%,24.00,2.04%,614
362,CPK,2.24B,26.39,22.99,3.77,3.73,2.81,431.46,-,12.40%,9.06%,10.60%,7.00%,2.70%,126.34,-1.34%,"22,554"
363,CPLP,257.83M,-,2.89,-,1.17,0.49,6.61,-,0.00%,2.26%,-14.90%,15.66%,-5.20%,13.95,1.83%,"42,267"
364,CPRX,942.25M,22.40,11.74,-,6.13,4.36,4.76,-,-48.10%,18.51%,29.80%,-,-,9.50,1.90%,"1,038,406"
365,CPSI,468.87M,21.26,10.32,1.64,1.61,2.02,29.30,10.33,27.90%,9.96%,33.80%,12.96%,1.00%,32.37,-0.31%,"13,651"
366,CPSS,225.81M,4.75,-,0.24,0.82,1.30,10.41,1.13,104.10%,-,12.80%,20.00%,-8.40%,11.18,-0.53%,"26,487"
367,CPUH,1.06B,44.68,-,-,-,1.30,3532.57,-,-,-,-,-,-,9.82,-0.05%,"20,216"
368,CQP,21.78B,20.00,10.66,4.55,2.02,-,-,-,26.30%,11.30%,51.61%,4.40%,-,45.13,0.29%,"47,213"
369,CR,5.10B,14.19,10.96,1.59,1.59,3.07,16.59,22.05,140.10%,14.89%,26.30%,8.90%,3.00%,93.44,0.70%,"24,432"
370,CRAI,662.37M,16.36,16.79,1.09,1.17,3.25,15.16,-,77.30%,5.45%,29.60%,15.00%,11.70%,92.44,-0.08%,"10,400"
371,CRAK,-,-,-,-,-,-,-,-,-,-,-,-,-,28.95,0.50%,"9,272"
372,CRC,3.14B,6.67,4.61,1.67,1.87,2.25,9.57,7.97,-81.10%,24.35%,1.80%,4.00%,4.10%,41.30,0.51%,"195,427"
373,CRGE,643.98M,-,-,-,1.22,15.73,12.83,-,-137.90%,13.80%,-,-,-,3.75,8.38%,"426,202"
374,CRHC,1.03B,433.04,-,-,-,1.37,10308.60,-,174.00%,-,-,-,-,9.96,0.00%,"5,864"
375,CRK,2.91B,-,3.31,-,1.43,3.34,240.71,13.67,-188.70%,13.61%,37.30%,20.00%,60.10%,13.10,1.28%,"1,031,459"
376,CRNX,1.10B,-,-,-,261.50,3.20,3.44,-,-15.50%,-7.80%,-59.20%,-,12.80%,21.31,4.72%,"36,041"
377,CRT,100.57M,14.24,-,-,12.57,32.17,77.36,-,42.80%,-,1.00%,-,-0.30%,17.56,1.10%,"28,844"
378,CRU,318.25M,31.57,-,-,-,1.32,1060.85,-,-,-,-,-,-,9.86,0.10%,"2,160"
379,CRVL,2.61B,41.89,-,-,4.04,12.65,26.75,69.74,43.60%,-,19.50%,-,4.50%,155.00,0.91%,"13,991"
380,CSGS,1.97B,33.60,16.19,-,1.86,4.73,10.49,26.11,24.20%,6.56%,3.50%,-5.00%,6.60%,62.02,0.26%,"32,916"
381,CSL,13.36B,26.24,13.81,1.75,2.49,5.12,45.80,95.64,22.80%,7.82%,15.60%,15.00%,7.00%,262.99,-0.10%,"80,347"
382,CSTR,434.08M,9.37,9.73,-,4.48,1.23,1.22,6.11,79.40%,8.73%,22.00%,-,16.70%,20.57,1.01%,"24,995"
383,CSV,595.68M,19.45,10.36,1.30,1.58,5.22,661.87,15.43,104.20%,10.58%,10.20%,15.00%,8.70%,40.86,-0.61%,"16,575"
384,CTAQ,506.03M,93.11,-,-,-,1.32,5060.35,-,929.60%,-,-,-,-,9.87,0.00%,"101,316"
385,CTAS,39.45B,33.73,28.37,3.03,5.22,12.14,469.09,50.92,26.30%,11.39%,20.60%,11.13%,8.20%,390.98,1.11%,"118,694"
386,CTBI,726.93M,8.82,9.55,1.76,4.10,1.13,4.03,9.08,47.40%,-1.91%,12.90%,5.00%,4.00%,41.47,-0.34%,"10,886"
387,CTIC,676.09M,-,-,-,293.95,-,-,-,-47.40%,98.80%,10.20%,-,-,6.68,3.57%,"861,675"
388,CTO,377.97M,20.05,76.45,-,5.19,0.88,39.79,-,785.40%,51.63%,14.50%,-,1.30%,21.53,0.96%,"23,870"
389,CTR,195.05M,2.37,-,-,-,-,-,-,-,-,-,-,-,27.80,0.75%,"7,722"
390,CTRA,22.16B,13.22,7.24,1.26,4.75,1.94,15.32,35.29,358.90%,-16.97%,35.20%,10.53%,24.40%,28.33,0.69%,"2,349,936"
391,CTS,1.13B,-,13.58,-,2.13,2.43,8.98,18.07,-221.70%,6.99%,-26.60%,11.00%,5.30%,36.57,0.55%,"21,437"
392,CTSH,34.39B,16.18,13.38,1.54,1.82,2.95,14.83,19.27,57.30%,11.31%,9.70%,10.48%,6.50%,67.94,0.77%,"760,635"
393,CTVA,38.51B,22.35,18.26,1.42,2.40,1.52,16.59,41.41,149.40%,17.77%,29.80%,15.71%,2.40%,53.79,0.09%,"694,129"
394,CUBI,1.19B,3.80,5.41,0.38,1.48,1.02,3.62,5.68,148.00%,-8.07%,34.30%,10.00%,19.30%,38.71,1.15%,"93,499"
395,CVBF,3.47B,17.75,13.39,1.78,8.09,1.74,2.07,28.78,20.50%,19.36%,10.70%,10.00%,9.70%,24.98,0.14%,"211,517"
396,CVCO,2.02B,10.75,10.01,0.36,1.24,2.53,7.65,16.11,158.70%,8.36%,38.60%,30.00%,16.00%,230.74,0.54%,"6,222"
397,CVE,34.09B,24.12,4.35,-,0.84,1.90,-,12.58,114.00%,-2.81%,20.00%,-,33.30%,17.69,0.63%,"3,546,001"
398,CVEO,368.28M,36.55,29.73,2.44,0.58,1.22,57.54,5.95,99.60%,65.74%,67.30%,15.00%,8.40%,26.66,0.19%,"12,505"
399,CVI,3.01B,19.77,11.82,-,0.37,4.85,4.45,8.31,109.80%,-45.30%,-2.90%,-,8.70%,30.55,-1.72%,"197,239"
400,CVII,1.69B,-,-,-,-,1.30,432.57,-,-,-,-,-,-,9.78,-0.10%,"5,909,984"
401,CVLG,449.59M,6.90,9.45,1.38,0.40,1.35,63.32,7.26,520.30%,-32.62%,30.00%,5.00%,9.30%,29.00,-0.91%,"61,783"
402,CVLY,214.09M,15.98,-,-,3.03,1.18,0.49,14.87,74.60%,-,2.30%,-,2.90%,22.61,-0.81%,"51,380"
403,CVR,27.07M,26.70,-,-,0.80,0.93,6.77,-,-,-,-13.90%,-,-1.70%,28.85,2.30%,630
404,CVS,123.54B,16.09,10.78,3.55,0.41,1.72,10.89,8.51,8.80%,7.44%,3.90%,4.53%,10.50%,95.19,-1.65%,"1,855,146"
405,CVV,28.55M,5.40,-,-,1.61,1.00,2.15,-,177.40%,-,99.80%,-,-4.70%,4.35,2.84%,"15,651"
406,CVX,280.60B,13.60,9.21,0.56,1.59,1.91,23.97,19.60,374.50%,-11.44%,100.80%,24.14%,7.10%,146.14,1.06%,"3,353,831"
407,CW,5.14B,21.71,15.35,-,2.08,2.80,37.64,22.89,37.20%,7.08%,9.40%,-,3.50%,135.57,0.74%,"27,473"
408,CWBC,121.38M,8.76,8.75,-,2.61,1.16,0.61,6.32,55.60%,8.11%,19.40%,-,7.40%,13.92,-0.57%,407
409,CWCO,219.44M,51.08,18.73,6.39,3.17,1.41,4.81,64.54,-60.20%,16.42%,-3.20%,8.00%,2.90%,14.36,-1.71%,"29,482"
410,CWEN,2.78B,117.65,-,-,2.16,2.23,-,-,-,-,-,-,-,34.34,1.00%,"163,836"
411,CWEN-A,6.61B,229.34,27.09,6.25,5.24,2.09,47.24,19.62,102.30%,13.50%,-5.60%,36.70%,4.40%,31.58,0.51%,"34,390"
412,CWST,3.83B,93.01,60.36,6.55,4.11,8.75,304.21,58.16,-57.10%,18.24%,46.70%,14.20%,9.50%,73.91,-0.04%,"37,257"
413,CXW,1.34B,14.78,12.34,2.46,0.72,0.98,3.54,5.54,-196.40%,25.86%,-17.40%,6.00%,0.10%,11.42,1.17%,"334,882"
414,CYAN,17.91M,8.65,-,-,0.50,0.94,6.89,16.28,135.30%,-,29.40%,-,2.30%,2.96,0.17%,469
415,CYBR,5.46B,-,-,-,10.55,8.12,5.68,95.15,-324.20%,87.80%,-36.30%,-,18.30%,139.59,3.08%,"125,418"
416,CYTK,3.99B,-,-,-,61.45,29.18,6.56,-,-42.00%,3.70%,-56.00%,15.00%,-7.90%,40.06,0.20%,"514,949"
417,CYXT,2.08B,-,-,-,2.92,3.07,34.67,-,-161.80%,18.80%,-,-,-,12.32,1.48%,"73,457"
418,D,62.76B,27.85,17.70,4.26,4.37,2.45,141.35,-,87.70%,6.75%,-1.60%,6.53%,3.50%,76.76,-1.31%,"1,637,651"
419,DAC,1.29B,1.25,2.71,0.42,1.64,0.57,1.83,19.39,693.00%,-2.82%,25.40%,3.00%,6.70%,66.78,1.33%,"105,660"
420,DBA,-,-,-,-,-,-,-,-,-,-,-,-,-,19.94,-0.05%,"565,016"
