No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
88,APH,39.55B,25.42,22.41,2.59,3.45,6.30,30.44,47.65,28.20%,7.86%,14.00%,9.80%,11.60%,68.54,1.32%,"407,993"
89,APLE,3.59B,43.77,20.81,-,3.46,1.15,5977.33,17.18,110.70%,21.84%,-35.70%,-,-2.10%,16.23,1.28%,"542,490"
90,APOG,870.87M,58.62,10.57,3.91,0.65,2.74,57.29,41.87,-76.50%,3.58%,-45.90%,15.00%,3.30%,40.44,1.00%,"26,127"
91,AQUA,4.11B,80.97,32.65,3.33,2.59,6.51,31.77,59.20,-56.00%,20.16%,32.00%,24.31%,5.20%,35.17,2.69%,"175,136"
92,AR,10.56B,-,4.13,-,2.51,2.00,-,6.51,87.00%,27.36%,26.80%,-,22.90%,35.55,1.92%,"2,390,689"
93,ARC,112.07M,10.79,9.96,1.08,0.40,0.71,2.22,4.57,48.70%,0.00%,17.10%,10.00%,-7.70%,2.65,2.32%,"64,700"
94,ARCB,1.89B,8.13,6.69,0.54,0.42,2.00,18.74,8.88,196.40%,-13.18%,62.40%,15.14%,8.10%,79.59,-0.20%,"79,990"
95,ARCH,2.56B,4.66,4.51,-,0.94,2.44,8.03,7.84,184.40%,-55.00%,-17.40%,-,2.30%,143.99,-1.20%,"121,055"
96,ARCO,1.34B,14.00,12.55,-,0.46,5.88,4.79,8.61,130.00%,8.61%,-9.90%,-,-1.90%,6.70,0.75%,"192,438"
97,ARES,17.55B,32.30,15.66,1.44,4.11,6.45,21.17,-,155.00%,26.48%,11.50%,22.50%,27.40%,64.32,2.63%,"144,034"
98,ARGX,20.04B,-,-,-,55.29,6.49,8.58,-,40.30%,16.40%,-,35.00%,-,366.90,-1.58%,"69,391"
99,ARKO,1.10B,17.20,15.13,-,0.14,4.73,3.65,-,190.40%,12.22%,-,-,27.30%,9.10,-0.76%,"60,792"
100,ARKR,69.07M,5.45,-,-,0.41,1.27,3.73,5.04,367.10%,-,25.50%,-,-2.60%,19.16,-0.42%,387
101,ARL,222.60M,-,-,-,5.86,0.92,16.13,-,-63.20%,-,23.20%,-,-18.90%,14.18,0.14%,288
102,ARLO,587.72M,-,127.09,-,1.23,5.34,4.04,-,47.70%,124.00%,-29.10%,-,18.70%,7.32,4.72%,"241,843"
103,ARLP,2.60B,14.33,4.61,-,1.52,2.16,20.26,-,234.20%,23.81%,-17.10%,-6.83%,-4.10%,20.65,-0.43%,"238,284"
104,ARMP,144.37M,-,-,-,31.39,1.86,3.11,-,28.90%,-7.40%,69.20%,-,76.70%,3.93,-0.51%,894
105,AROC,1.26B,51.45,17.78,-,1.60,1.43,965.49,82.04,138.50%,53.33%,17.30%,-12.91%,-0.60%,8.12,-0.73%,"164,812"
106,ARTNA,474.72M,28.48,23.67,7.12,5.14,2.69,949.44,-,-0.50%,14.74%,4.80%,4.00%,2.80%,51.62,0.04%,"9,051"
107,ARW,7.78B,6.59,5.98,1.37,0.22,1.48,32.04,55.10,103.60%,-11.17%,21.60%,4.80%,8.00%,117.65,0.44%,"76,968"
108,ASB,2.78B,9.24,8.63,1.16,3.45,0.76,4.03,6.36,17.00%,14.65%,11.60%,8.00%,0.20%,19.11,-0.34%,"357,981"
109,ASC,269.90M,-,38.05,-,1.28,0.96,5.07,-,-518.00%,-81.08%,-61.70%,42.64%,3.20%,7.99,0.00%,"270,877"
110,ASGN,4.70B,19.35,13.34,1.42,1.12,2.58,9.36,49.55,30.00%,7.01%,19.10%,13.60%,10.40%,95.92,2.58%,"43,966"
111,ASH,5.46B,44.03,17.67,2.87,2.63,1.69,5.67,30.18,131.20%,12.19%,21.30%,15.36%,-6.90%,102.62,0.32%,"144,030"
112,ASIX,978.34M,5.94,4.93,0.59,0.55,1.52,50.69,6.81,194.10%,-8.62%,33.90%,10.00%,7.20%,36.15,1.69%,"55,236"
113,ASLE,859.37M,19.70,-,-,2.12,2.01,5.01,6.44,-90.00%,-,-,-,-,16.60,-0.55%,"12,122"
114,ASO,3.41B,5.96,5.43,0.54,0.51,2.35,7.22,7.28,87.80%,8.40%,63.30%,11.00%,7.40%,42.11,1.47%,"708,400"
115,ASPS,190.15M,11.36,8.73,0.57,1.14,-,-,-,117.10%,165.60%,-12.90%,20.00%,-29.10%,13.05,3.04%,"52,601"
116,ASR,5.65B,16.42,12.99,-,5.52,3.03,11.80,9.80,203.40%,10.58%,10.50%,-0.10%,14.00%,188.10,-1.21%,"12,737"
117,ASRT,138.04M,47.08,10.66,1.88,1.14,1.24,2.25,-,97.20%,-28.78%,65.20%,25.00%,-24.60%,3.16,3.27%,"405,838"
118,ASRV,65.91M,8.89,-,-,1.44,0.58,1.80,32.96,53.30%,-,27.80%,-,2.20%,3.86,0.26%,657
119,ASZ,1.93B,30.92,-,-,-,1.48,-,-,-,-,-,-,-,9.77,-0.05%,"211,758"
120,ATEN,1.01B,11.17,16.81,0.56,3.90,5.69,6.10,19.22,432.50%,19.91%,40.50%,20.00%,1.90%,14.18,2.98%,"160,358"
121,ATGE,1.73B,-,9.30,-,1.32,1.30,-,27.21,-56.50%,32.80%,111.10%,15.00%,-9.60%,39.29,-0.85%,"133,424"
122,ATI,2.95B,-,12.85,-,1.00,4.61,9.32,-,97.60%,21.81%,45.00%,-4.50%,-2.20%,23.97,-0.29%,"341,544"
123,ATKR,3.71B,5.12,6.97,-,1.03,3.89,-,7.25,293.10%,-36.02%,67.10%,-8.28%,14.00%,89.96,1.03%,"56,945"
124,ATLC,612.16M,5.37,5.73,0.27,1.15,2.21,1.64,-,91.20%,13.79%,79.30%,20.00%,37.70%,42.22,3.18%,"3,006"
125,ATMP,-,-,-,-,-,-,-,-,-,-,-,-,-,17.45,-1.02%,157
126,ATNI,707.93M,-,578.38,-,1.09,1.22,9.31,-,-57.10%,166.70%,-31.10%,20.00%,5.70%,45.83,-0.95%,"11,275"
127,ATO,15.64B,21.23,19.17,2.47,4.08,1.73,26.84,-,4.70%,6.86%,9.00%,8.61%,6.80%,113.25,-0.19%,"296,387"
128,ATRI,1.13B,34.52,-,-,6.52,4.71,18.71,124.01,4.20%,-,4.10%,-,2.80%,640.84,-0.62%,408
129,ATSG,2.18B,9.80,12.42,19.59,1.18,1.62,61.34,22.40,618.00%,12.42%,55.10%,0.50%,17.70%,29.81,0.40%,"46,054"
130,AUB,2.51B,11.10,9.97,1.39,4.30,1.05,6.33,9.21,68.30%,20.05%,13.50%,8.00%,15.10%,34.53,-0.10%,"46,892"
131,AUSF,-,-,-,-,-,-,-,-,-,-,-,-,-,29.53,0.26%,255
132,AUY,4.68B,30.64,18.36,-,2.55,1.04,8.49,20.59,-28.40%,-15.48%,20.10%,-,0.30%,4.74,-1.56%,"5,854,607"
133,AVAN,745.18M,20.21,-,-,-,1.32,3725.89,-,280.80%,-,-,-,-,9.94,-0.05%,"20,549"
134,AVD,659.40M,26.40,16.89,-,1.12,1.72,37.04,8.87,20.30%,16.44%,7.00%,-1.00%,12.30%,21.98,-0.63%,"41,065"
135,AVEO,231.22M,-,-,-,3.77,6.18,2.93,-,1.80%,88.80%,15.90%,-,75.90%,7.07,6.96%,"121,233"
136,AVGO,201.46B,25.22,12.75,1.85,6.72,9.91,22.37,25.86,137.10%,8.12%,40.00%,13.60%,15.70%,515.48,1.27%,"839,843"
137,AVT,4.32B,8.40,6.49,0.81,0.19,1.03,21.68,-,723.20%,0.07%,-8.10%,10.40%,3.10%,44.67,0.39%,"200,654"
138,AVTE,376.61M,-,-,-,-,2.45,2.34,-,-135.40%,-19.50%,-,-,-,17.08,5.17%,"48,101"
139,AVUV,-,-,-,-,-,-,-,-,-,-,-,-,-,72.39,0.57%,"215,921"
140,AXNX,2.95B,-,-,-,15.16,6.19,13.82,-,-25.20%,23.50%,-22.00%,-,-,63.56,0.06%,"383,415"
141,AXR,84.71M,8.69,-,-,1.53,0.89,3.10,7.50,231.00%,-,22.40%,-,-0.80%,11.50,-0.09%,"1,169"
142,AXS,4.56B,7.43,7.79,0.62,0.86,0.99,4.62,4.99,485.80%,11.94%,6.30%,12.00%,5.70%,53.49,0.19%,"98,442"
143,AYI,5.55B,16.59,13.13,1.30,1.43,3.06,17.43,29.43,33.50%,4.07%,4.80%,12.78%,1.00%,173.06,0.39%,"76,089"
144,AZN,200.87B,-,13.47,-,4.84,5.81,34.50,110.80,-96.80%,14.92%,-50.90%,15.00%,10.20%,66.09,-3.04%,"2,435,593"
145,AZO,42.57B,19.65,17.65,2.16,2.69,-,161.88,16.03,32.30%,9.47%,18.50%,9.10%,6.60%,2192.94,-1.41%,"66,139"
146,AZPN,11.80B,44.55,30.51,2.73,17.03,15.37,41.38,45.98,39.70%,7.34%,22.70%,16.30%,8.50%,181.76,1.60%,"56,710"
147,BAH,12.25B,26.86,19.06,3.40,1.47,11.75,17.61,27.39,-21.20%,11.79%,14.90%,7.90%,7.60%,93.31,0.69%,"246,300"
148,BAL,-,-,-,-,-,-,-,-,-,-,-,-,-,65.54,3.13%,785
149,BANC,1.10B,11.92,8.60,1.19,3.59,1.16,3.61,-,122.10%,-1.03%,-6.70%,10.00%,-4.60%,18.02,-0.44%,"89,401"
150,BANF,2.93B,19.01,17.36,2.72,9.01,2.57,0.72,26.14,67.80%,8.42%,17.80%,7.00%,8.40%,90.39,-1.68%,"33,858"
151,BANR,1.97B,10.33,9.85,1.48,3.80,1.29,0.85,-,76.50%,12.75%,17.90%,7.00%,5.90%,59.02,0.08%,"44,604"
152,BAP,12.00B,9.67,2.07,0.80,3.82,1.46,1.09,27.18,932.60%,12.20%,0.40%,12.04%,1.90%,127.56,0.67%,"153,510"
153,BATRA,27.79B,57.17,-,1.27,48.33,5.17,89.35,385.94,86.20%,22.00%,30.00%,45.10%,16.70%,28.50,0.69%,"8,708"
154,BATRK,1.11B,-,-,-,1.95,4.71,-,-,84.50%,67.70%,-,-,-,27.17,0.56%,"18,505"
